Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,12.463910,12.339619,12.636063
Sequential,-1,12.418408,12.358238,12.615798
Sequential,-1,12.480686,12.432966,12.630250
Sequential,-1,12.429747,12.384492,12.603550
Sequential,-1,12.484426,12.379883,12.643790
Sequential,-1,12.489951,12.396068,12.656430
Sequential,-1,12.435634,12.375478,12.574779
Sequential,-1,12.473117,12.403455,12.581498
Sequential,-1,12.477755,12.440555,12.559224
Sequential,-1,12.424089,12.347209,12.562277
Sequential,-1,12.417038,12.351289,12.603443
Sequential,-1,12.422284,12.348443,12.501406
Sequential,-1,12.388150,12.342447,12.509275
Sequential,-1,12.334996,12.275358,12.496605
Sequential,-1,15.424964,15.309970,15.487239
Sequential,-1,15.459488,15.384382,15.531746
Sequential,-1,15.481496,15.417389,15.531197
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,15.479520,15.418191,15.535896
Sequential,-1,15.409367,15.305321,15.479749
Sequential,-1,15.469617,15.346489,15.555209
Sequential,-1,15.410741,15.356879,15.487214
Sequential,-1,15.446031,15.364326,15.533629
Sequential,-1,15.419921,15.354948,15.505792
Sequential,-1,15.486784,15.411136,15.521758
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,12.463927,12.419633,12.516232
Sequential,-1,12.475653,12.449136,12.528686
Sequential,-1,12.480147,12.449860,12.541824
Sequential,-1,12.470723,12.446651,12.521979
Sequential,-1,12.470131,12.442421,12.523433
Sequential,-1,12.400208,12.342649,12.523513
Sequential,-1,12.411599,12.344716,12.461844
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,12.458966,12.345979,12.584179
Sequential,-1,12.409734,12.340260,12.537760
Sequential,-1,12.337388,12.301810,12.479192
Sequential,-1,12.421033,12.358607,12.504104
Sequential,-1,12.426776,12.363994,12.588094
Sequential,-1,12.473413,12.425275,12.629986
Sequential,-1,12.468791,12.437703,12.590353
Sequential,-1,12.455657,12.428156,12.565852
Sequential,-1,12.442020,12.370879,12.565845
Sequential,-1,12.419860,12.345920,12.552074
Sequential,-1,12.369775,12.331307,12.568425
Sequential,-1,12.449850,12.426861,12.504073
Sequential,-1,12.419902,12.333277,12.551891
Sequential,-1,12.371207,12.338044,12.487043
Sequential,-1,15.369560,15.291942,15.473922
Sequential,-1,15.425740,15.337096,15.523334
Sequential,-1,15.472655,15.342978,15.535839
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,15.457786,15.357201,15.495877
Sequential,-1,15.464100,15.408646,15.517678
Sequential,-1,15.457515,15.396034,15.496260
Sequential,-1,15.448506,15.348738,15.527290
Sequential,-1,15.473697,15.388299,15.515170
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,12.470958,12.442490,12.610866
Sequential,-1,12.427918,12.322989,12.610323
Sequential,-1,12.430227,12.356578,12.627085
Sequential,-1,12.439018,12.344284,12.521881
Sequential,-1,12.464890,12.431467,12.615685
Sequential,-1,12.404768,12.326361,12.595226
Sequential,-1,12.380621,12.345468,12.495271
Sequential,-1,12.457945,12.394565,12.576531
Sequential,-1,12.451429,12.421255,12.543505
Sequential,-1,12.464917,12.430166,12.599006
Sequential,-1,12.456503,12.431715,12.550882
Sequential,-1,12.444780,12.369214,12.562309
Sequential,-1,12.456904,12.414486,12.563308
Sequential,-1,12.456903,12.429650,12.565316
Sequential,-1,15.462787,15.392530,15.515143
Sequential,-1,15.451793,15.385614,15.504861
Sequential,-1,15.429946,15.341363,15.514888
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,12.418992,12.344583,12.505631
Sequential,-1,12.426704,12.336716,12.540737
Sequential,-1,12.456039,12.423948,12.545760
Sequential,-1,12.456287,12.428823,12.536215
Sequential,-1,12.396120,12.334798,12.503621
Sequential,-1,12.438401,12.397475,12.463581
Sequential,-1,12.441458,12.413801,12.479774
